ticker,company_name,sector,years,usable_years,avg_authenticity_index,avg_theme_overlap,avg_theme_emphasis_similarity,avg_tone_alignment,coverage_for_index,validity_group,validity_interpretation
BAC,Bank of America,Financials,9,9,0.8462888888888889,0.8518666666666667,0.8429333333333333,0.8414222222222222,1.0,top_10_alignment,"High-scoring company: stated and lived documents have relatively stronger theme overlap, theme-emphasis similarity, or tone alignment."
PSX,Phillips 66,Energy,9,9,0.7648222222222222,0.7284111111111111,0.8357888888888889,0.6490444444444444,1.0,top_10_alignment,"High-scoring company: stated and lived documents have relatively stronger theme overlap, theme-emphasis similarity, or tone alignment."
HAL,Halliburton,Energy,9,9,0.7167666666666667,0.9506222222222224,0.5096222222222223,0.7144666666666667,1.0,top_10_alignment,"High-scoring company: stated and lived documents have relatively stronger theme overlap, theme-emphasis similarity, or tone alignment."
BLK,BlackRock,Financials,9,5,0.7163600000000001,0.4321111111111111,0.63716,0.8492444444444445,0.5555555555555556,top_10_alignment,"High-scoring company: stated and lived documents have relatively stronger theme overlap, theme-emphasis similarity, or tone alignment."
JPM,JPMorgan Chase,Financials,9,8,0.7150624999999999,0.7037222222222224,0.6739125,0.6746111111111112,0.8888888888888888,top_10_alignment,"High-scoring company: stated and lived documents have relatively stronger theme overlap, theme-emphasis similarity, or tone alignment."
TJX,TJX Companies,Consumer Discretionary,9,9,0.6987333333333333,0.5802666666666667,0.8256333333333333,0.6340111111111111,1.0,top_10_alignment,"High-scoring company: stated and lived documents have relatively stronger theme overlap, theme-emphasis similarity, or tone alignment."
WFC,Wells Fargo,Financials,9,7,0.6878285714285715,0.6913666666666667,0.6138571428571428,0.4016555555555555,0.7777777777777778,top_10_alignment,"High-scoring company: stated and lived documents have relatively stronger theme overlap, theme-emphasis similarity, or tone alignment."
MCD,McDonald's,Consumer Discretionary,9,7,0.6814714285714285,0.5432222222222223,0.6110428571428572,0.8337444444444445,0.7777777777777778,top_10_alignment,"High-scoring company: stated and lived documents have relatively stronger theme overlap, theme-emphasis similarity, or tone alignment."
OXY,Occidental Petroleum,Energy,9,8,0.6754875,0.6049444444444445,0.6682125,0.7063666666666667,0.8888888888888888,top_10_alignment,"High-scoring company: stated and lived documents have relatively stronger theme overlap, theme-emphasis similarity, or tone alignment."
XOM,ExxonMobil,Energy,9,8,0.6665,0.7777888888888889,0.4120749999999999,0.8322,0.8888888888888888,top_10_alignment,"High-scoring company: stated and lived documents have relatively stronger theme overlap, theme-emphasis similarity, or tone alignment."
BRK.B,Berkshire Hathaway,Financials,9,9,0.2475444444444444,0.0509222222222222,0.2000333333333333,0.8777666666666667,1.0,bottom_10_alignment,Low-scoring company: stated and lived documents have weaker measured alignment or limited usable coverage.
NVDA,NVIDIA,Technology,9,8,0.3424875,0.2777874999999999,0.2199399999999999,0.8765333333333333,0.8888888888888888,bottom_10_alignment,Low-scoring company: stated and lived documents have weaker measured alignment or limited usable coverage.
AVGO,Broadcom,Technology,9,1,0.3894,0.0617333333333333,0.1476,0.7324222222222222,0.1111111111111111,bottom_10_alignment,Low-scoring company: stated and lived documents have weaker measured alignment or limited usable coverage.
TGT,Target,Consumer Discretionary,9,9,0.4134,0.5555444444444445,0.1849777777777778,0.719588888888889,1.0,bottom_10_alignment,Low-scoring company: stated and lived documents have weaker measured alignment or limited usable coverage.
ABT,Abbott Laboratories,Healthcare,9,4,0.4309,0.2839555555555555,0.1667,0.7630666666666667,0.4444444444444444,bottom_10_alignment,Low-scoring company: stated and lived documents have weaker measured alignment or limited usable coverage.
NKE,Nike,Consumer Discretionary,9,4,0.43625,0.2222333333333333,0.2603999999999999,0.8497555555555556,0.4444444444444444,bottom_10_alignment,Low-scoring company: stated and lived documents have weaker measured alignment or limited usable coverage.
LLY,Eli Lilly,Healthcare,9,6,0.43925,0.3580222222222222,0.2251,0.8170222222222222,0.6666666666666666,bottom_10_alignment,Low-scoring company: stated and lived documents have weaker measured alignment or limited usable coverage.
SBUX,Starbucks,Consumer Discretionary,9,7,0.4549142857142857,0.4814777777777778,0.2398571428571428,0.6799222222222222,0.7777777777777778,bottom_10_alignment,Low-scoring company: stated and lived documents have weaker measured alignment or limited usable coverage.
CRM,Salesforce,Technology,9,9,0.4559444444444445,0.5926222222222222,0.2800777777777778,0.6191666666666666,1.0,bottom_10_alignment,Low-scoring company: stated and lived documents have weaker measured alignment or limited usable coverage.
TSLA,Tesla,Consumer Discretionary,9,9,0.4687222222222222,0.481511111111111,0.3728,0.7225444444444444,1.0,bottom_10_alignment,Low-scoring company: stated and lived documents have weaker measured alignment or limited usable coverage.
