year,rows,usable_rows,coverage_for_index,avg_authenticity_index,median_authenticity_index,avg_theme_overlap,avg_theme_emphasis_similarity,avg_tone_alignment
2016,50,37,0.74,0.5307,0.5382,0.474456,0.3868916666666667,0.7206
2017,50,40,0.8,0.55517,0.5763,0.527784,0.41078205128205125,0.735986
2018,50,40,0.8,0.5408275,0.56845,0.511122,0.39901282051282055,0.729756
2019,50,44,0.88,0.5323749999999999,0.52075,0.566682,0.381753488372093,0.7070019999999999
2020,50,43,0.86,0.5894441860465116,0.6264,0.586676,0.46538095238095234,0.7449479999999999
2021,50,42,0.84,0.6269285714285714,0.6605,0.62918,0.49451951219512197,0.732218
2022,50,40,0.8,0.6112,0.6516,0.5941183673469388,0.4722975,0.747984
2023,50,43,0.86,0.5961,0.6271,0.604456,0.4587046511627907,0.73504
2024,50,44,0.88,0.620340909090909,0.6333,0.642232,0.4929204545454546,0.7262820000000001
