year,gap_type,rows,year_total,share_within_year
2016,broad_misalignment,7,50,0.14
2016,different_themes_similar_tone,8,50,0.16
2016,high_alignment,5,50,0.1
2016,insufficient_data,13,50,0.26
2016,same_themes_different_emphasis,17,50,0.34
2017,broad_misalignment,6,50,0.12
2017,different_themes_similar_tone,10,50,0.2
2017,high_alignment,7,50,0.14
2017,insufficient_data,10,50,0.2
2017,same_themes_different_emphasis,17,50,0.34
2018,broad_misalignment,9,50,0.18
2018,different_themes_similar_tone,10,50,0.2
2018,high_alignment,5,50,0.1
2018,insufficient_data,10,50,0.2
2018,same_themes_different_emphasis,16,50,0.32
2019,broad_misalignment,9,50,0.18
2019,different_themes_similar_tone,9,50,0.18
2019,high_alignment,7,50,0.14
2019,insufficient_data,6,50,0.12
2019,same_themes_different_emphasis,19,50,0.38
2020,broad_misalignment,6,50,0.12
2020,different_themes_similar_tone,9,50,0.18
2020,high_alignment,11,50,0.22
2020,insufficient_data,7,50,0.14
2020,same_themes_different_emphasis,17,50,0.34
2021,broad_misalignment,4,50,0.08
2021,different_themes_similar_tone,6,50,0.12
2021,high_alignment,14,50,0.28
2021,insufficient_data,8,50,0.16
2021,same_themes_different_emphasis,18,50,0.36
2022,broad_misalignment,4,50,0.08
2022,different_themes_similar_tone,5,50,0.1
2022,high_alignment,13,50,0.26
2022,insufficient_data,10,50,0.2
2022,same_themes_different_emphasis,18,50,0.36
2023,broad_misalignment,4,50,0.08
2023,different_themes_similar_tone,9,50,0.18
2023,high_alignment,10,50,0.2
2023,insufficient_data,7,50,0.14
2023,same_themes_different_emphasis,20,50,0.4
2024,broad_misalignment,6,50,0.12
2024,different_themes_similar_tone,4,50,0.08
2024,high_alignment,14,50,0.28
2024,insufficient_data,6,50,0.12
2024,same_themes_different_emphasis,20,50,0.4
