sector,year,rows,scored_rows,avg_authenticity_index,avg_theme_overlap,avg_theme_emphasis_similarity,avg_tone_alignment,same_themes_different_emphasis_share,broad_misalignment_share,high_alignment_share
Consumer Discretionary,2016,10,6,0.5175166666666667,0.3889,0.34136666666666665,0.78149,0.4,0.0,0.0
Consumer Discretionary,2017,10,6,0.5674166666666667,0.42223,0.40265,0.75126,0.4,0.1,0.0
Consumer Discretionary,2018,10,8,0.5314,0.55557,0.34523750000000003,0.68615,0.4,0.2,0.0
Consumer Discretionary,2019,10,9,0.4872,0.51113,0.35660000000000003,0.68236,0.3,0.3,0.0
Consumer Discretionary,2020,10,9,0.5500777777777778,0.54445,0.4343444444444444,0.75398,0.2,0.2,0.2
Consumer Discretionary,2021,10,8,0.597425,0.4889,0.5307375,0.7907,0.1,0.2,0.3
Consumer Discretionary,2022,10,7,0.5746,0.45557,0.4774,0.71451,0.2,0.3,0.1
Consumer Discretionary,2023,10,9,0.5708222222222222,0.53334,0.49995555555555554,0.73297,0.2,0.2,0.3
Consumer Discretionary,2024,10,8,0.557025,0.42222,0.5273875,0.71558,0.2,0.2,0.2
Energy,2016,10,9,0.5934333333333333,0.61112,0.49071111111111115,0.69488,0.4,0.2,0.2
Energy,2017,10,10,0.59448,0.67779,0.46625000000000005,0.75705,0.4,0.1,0.2
Energy,2018,10,8,0.545975,0.42223,0.48636250000000003,0.80027,0.1,0.3,0.1
Energy,2019,10,9,0.6013888888888889,0.61113,0.48416666666666663,0.7546700000000001,0.3,0.1,0.3
Energy,2020,10,8,0.7142375,0.61112,0.6361375,0.8242100000000001,0.3,0.0,0.4
Energy,2021,10,9,0.6873444444444444,0.76668,0.516,0.73627,0.6,0.0,0.2
Energy,2022,10,10,0.67635,0.7777999999999999,0.54622,0.7963,0.4,0.0,0.5
Energy,2023,10,10,0.64269,0.7888900000000001,0.48675999999999997,0.72069,0.5,0.1,0.3
Energy,2024,10,10,0.6758200000000001,0.8111200000000001,0.54807,0.69823,0.3,0.1,0.6
Financials,2016,10,8,0.528725,0.42223,0.5009285714285714,0.7333999999999999,0.1,0.1,0.3
Financials,2017,10,8,0.63025,0.54445,0.5975857142857143,0.72187,0.1,0.0,0.5
Financials,2018,10,10,0.61817,0.66668,0.5674111111111111,0.73165,0.2,0.1,0.4
Financials,2019,10,9,0.5714555555555556,0.62223,0.4473666666666667,0.61159,0.3,0.2,0.3
Financials,2020,10,10,0.57795,0.6000099999999999,0.53675,0.6428,0.1,0.2,0.4
Financials,2021,10,9,0.6238777777777779,0.65696,0.5329333333333334,0.6458,0.1,0.1,0.6
Financials,2022,10,8,0.5546375,0.46668000000000004,0.4896125,0.72249,0.2,0.0,0.4
Financials,2023,10,8,0.5995375,0.5000199999999999,0.54705,0.69335,0.2,0.1,0.2
Financials,2024,10,9,0.6445222222222222,0.60002,0.6036333333333332,0.73357,0.1,0.1,0.5
Healthcare,2016,10,7,0.5160714285714285,0.50557,0.2745285714285714,0.73776,0.4,0.1,0.0
Healthcare,2017,10,9,0.4835777777777778,0.52778,0.3085777777777778,0.75813,0.4,0.2,0.0
Healthcare,2018,10,8,0.5152625,0.55557,0.28155,0.76532,0.6,0.2,0.0
Healthcare,2019,10,9,0.5381,0.64446,0.31651111111111113,0.74757,0.7,0.0,0.1
Healthcare,2020,10,8,0.6267125,0.70001,0.3704,0.75544,0.7,0.0,0.1
Healthcare,2021,10,8,0.6573625000000001,0.6889000000000001,0.446625,0.75525,0.5,0.0,0.2
Healthcare,2022,10,8,0.638325,0.6889000000000001,0.4012,0.77152,0.7,0.0,0.1
Healthcare,2023,10,8,0.6257,0.70001,0.3684,0.75595,0.7,0.0,0.1
Healthcare,2024,10,9,0.6313444444444445,0.8111200000000001,0.35342222222222225,0.76466,0.9,0.0,0.0
Technology,2016,10,7,0.4782285714285714,0.44446,0.2907571428571428,0.65547,0.4,0.3,0.0
Technology,2017,10,7,0.49475714285714284,0.46667000000000003,0.2831142857142857,0.69162,0.4,0.2,0.0
Technology,2018,10,6,0.4517166666666667,0.35556,0.25826666666666664,0.66539,0.3,0.1,0.0
Technology,2019,10,8,0.45515,0.44446,0.28194285714285716,0.73882,0.3,0.3,0.0
Technology,2020,10,8,0.4860375,0.47779,0.31672857142857147,0.74831,0.4,0.2,0.0
Technology,2021,10,8,0.5614625,0.54446,0.4308571428571429,0.73307,0.5,0.1,0.1
Technology,2022,10,7,0.5883714285714285,0.5802555555555555,0.42305714285714285,0.7351,0.3,0.1,0.2
Technology,2023,10,8,0.5332625,0.5000199999999999,0.3791875,0.7722399999999999,0.4,0.0,0.1
Technology,2024,10,8,0.5747249999999999,0.5666800000000001,0.4219,0.71937,0.5,0.2,0.1
