ticker,company_name,sector,usable,total,avg_text_len,avg_tone_net,avg_total_theme_mentions_per_10k,coverage
AAPL,Apple,Technology,8,9,223410.77777777778,0.23285555555555554,54.483244444444445,0.8888888888888888
ABBV,AbbVie,Healthcare,8,9,261358.22222222222,0.24604444444444443,45.66665555555556,0.8888888888888888
ABT,Abbott Laboratories,Healthcare,9,9,261135.22222222222,0.3292777777777778,49.02731111111111,1.0
AMZN,Amazon,Consumer Discretionary,9,9,313412.8888888889,0.43377777777777776,59.83617777777777,1.0
AVGO,Broadcom,Technology,6,9,182764.33333333334,0.16714444444444443,35.96426666666667,0.6666666666666666
AXP,American Express,Financials,9,9,338360.6666666667,-0.014199999999999997,58.99604444444445,1.0
BAC,Bank of America,Financials,9,9,449587.0,0.1428333333333333,64.23524444444445,1.0
BLK,BlackRock,Financials,9,9,363352.22222222225,0.058077777777777784,63.22193333333333,1.0
BMY,Bristol-Myers Squibb,Healthcare,9,9,372840.77777777775,0.41713333333333336,56.86982222222222,1.0
BRK.B,Berkshire Hathaway,Financials,9,9,79052.44444444444,-0.11724444444444443,43.38021111111111,1.0
C,Citigroup,Financials,9,9,502777.44444444444,-0.15846666666666667,57.64094444444444,1.0
COP,ConocoPhillips,Energy,9,9,481037.77777777775,0.3280888888888889,55.54333333333333,1.0
CRM,Salesforce,Technology,9,9,483819.22222222225,0.23832222222222224,48.61141111111111,1.0
CVX,Chevron,Energy,9,9,407777.22222222225,0.07187777777777778,55.99036666666667,1.0
EOG,EOG Resources,Energy,9,9,257491.66666666666,0.32914444444444446,50.61598888888889,1.0
F,Ford Motor,Consumer Discretionary,9,9,415314.1111111111,0.1423222222222222,47.97295555555556,1.0
GOOGL,Alphabet,Technology,9,9,367928.8888888889,0.1521111111111111,47.283966666666664,1.0
GS,Goldman Sachs,Financials,7,9,310479.1111111111,-0.0800111111111111,45.00908888888889,0.7777777777777778
HAL,Halliburton,Energy,9,9,279531.3333333333,0.23904444444444442,52.67717777777778,1.0
HD,Home Depot,Consumer Discretionary,9,9,309145.77777777775,0.15727777777777777,54.811077777777776,1.0
IBM,IBM,Technology,9,9,347891.44444444444,0.4753333333333334,49.69623333333333,1.0
INTC,Intel,Technology,9,9,442676.8888888889,0.3017666666666667,61.87967777777778,1.0
JNJ,Johnson & Johnson,Healthcare,9,9,360258.3333333333,0.16023333333333334,63.9861,1.0
JPM,JPMorgan Chase,Financials,9,9,399008.1111111111,0.10371111111111112,62.936866666666674,1.0
LLY,Eli Lilly,Healthcare,9,9,318714.8888888889,0.3730888888888889,59.83343333333333,1.0
LOW,Lowe's,Consumer Discretionary,9,9,279764.22222222225,0.32614444444444446,57.35061111111111,1.0
MCD,McDonald's,Consumer Discretionary,8,9,267525.6666666667,0.3962,45.69583333333333,0.8888888888888888
MDT,Medtronic,Healthcare,9,9,360376.22222222225,0.06142222222222222,54.76311111111111,1.0
META,Meta Platforms,Technology,9,9,361158.44444444444,0.10968888888888889,54.416266666666665,1.0
MPC,Marathon Petroleum,Energy,9,9,359423.1111111111,0.25464444444444445,56.13256666666667,1.0
MRK,Merck,Healthcare,9,9,316076.22222222225,0.33032222222222224,51.39832222222222,1.0
MS,Morgan Stanley,Financials,9,9,340168.55555555556,-0.14375555555555555,62.11445555555555,1.0
MSFT,Microsoft,Technology,9,9,303912.77777777775,0.33949999999999997,63.96811111111111,1.0
NKE,Nike,Consumer Discretionary,9,9,227958.33333333334,0.14713333333333334,56.773355555555554,1.0
NVDA,NVIDIA,Technology,8,9,254872.22222222222,0.1723111111111111,44.14803333333333,0.8888888888888888
ORCL,Oracle,Technology,9,9,343028.6666666667,0.017944444444444447,53.10505555555555,1.0
OXY,Occidental Petroleum,Energy,9,9,337125.8888888889,0.3132888888888889,56.87555555555556,1.0
PFE,Pfizer,Healthcare,9,9,448495.55555555556,0.3385777777777778,57.4459,1.0
PSX,Phillips 66,Energy,9,9,266690.8888888889,0.18766666666666668,62.331488888888885,1.0
SBUX,Starbucks,Consumer Discretionary,8,9,288805.44444444444,0.25616666666666665,48.33411111111111,0.8888888888888888
SCHW,Charles Schwab,Financials,9,9,284509.8888888889,-0.08276666666666667,52.815244444444446,1.0
SLB,SLB,Energy,9,9,313345.77777777775,0.17384444444444444,55.74891111111111,1.0
TGT,Target,Consumer Discretionary,9,9,265223.55555555556,-0.1164,56.75111111111111,1.0
TJX,TJX Companies,Consumer Discretionary,9,9,296177.8888888889,0.1092111111111111,54.420966666666665,1.0
TMO,Thermo Fisher Scientific,Healthcare,9,9,269868.0,0.3061111111111111,53.579744444444444,1.0
TSLA,Tesla,Consumer Discretionary,9,9,422249.1111111111,0.22482222222222223,38.08397777777778,1.0
UNH,UnitedHealth Group,Healthcare,9,9,320628.3333333333,0.20246666666666668,60.611088888888894,1.0
VLO,Valero Energy,Energy,9,9,306864.1111111111,0.05864444444444445,61.38148888888889,1.0
WFC,Wells Fargo,Financials,7,9,384969.55555555556,-0.19671111111111111,54.443133333333336,0.7777777777777778
XOM,ExxonMobil,Energy,8,9,238904.11111111112,0.09335555555555557,51.797155555555555,0.8888888888888888
