event_period,sector,rows,usable,coverage,avg_tone_net,avg_total_theme_mentions_per_10k,avg_diversity_inclusion_per_10k,avg_sustainability_environment_per_10k,avg_employees_culture_per_10k,avg_health_safety_wellbeing_per_10k
covid_2020_2021,Consumer Discretionary,20,20,1.0,0.23727499999999999,56.072064999999995,4.69107,2.2723649999999997,6.221385,1.3866299999999998
covid_2020_2021,Energy,20,19,0.95,0.19771,52.42943,2.47201,3.58255,5.4997,1.63538
covid_2020_2021,Financials,20,20,1.0,0.016735,60.819735,5.33412,2.941655,7.45797,0.928205
covid_2020_2021,Healthcare,20,20,1.0,0.29486,55.961045,3.60016,1.719875,5.571745,3.2597700000000005
covid_2020_2021,Technology,20,20,1.0,0.285745,56.02124,5.849600000000001,1.824665,6.393165000000001,0.8113149999999999
post_2021,Consumer Discretionary,30,28,0.9333333333333333,0.1816,52.237370000000006,4.34657,3.06243,6.588403333333333,1.4378166666666667
post_2021,Energy,30,30,1.0,0.24614,61.89647333333333,3.4211866666666664,7.47386,5.688429999999999,1.7207066666666668
post_2021,Financials,30,29,0.9666666666666667,-0.014589999999999999,61.112226666666665,5.245536666666666,4.929713333333334,6.72597,0.9143566666666666
post_2021,Healthcare,30,30,1.0,0.25832,61.07788333333333,4.365866666666666,2.8728833333333332,6.150753333333333,4.256716666666667
post_2021,Technology,30,29,0.9666666666666667,0.21085666666666666,57.71985333333334,5.590886666666666,2.699516666666667,6.115703333333333,1.0111866666666667
pre_2020,Consumer Discretionary,40,40,1.0,0.21241,49.79273,3.43189,1.3855225,3.7794350000000003,0.6176925
pre_2020,Energy,40,40,1.0,0.1777,53.1590875,2.4662025,2.4058775,5.387555,1.51731
pre_2020,Financials,40,37,0.925,-0.107345,50.834424999999996,3.58938,1.4381975,4.83786,0.48389499999999996
pre_2020,Healthcare,40,39,0.975,0.28088250000000003,50.6769,2.7449825,0.732865,4.3681125000000005,2.2381625
pre_2020,Technology,40,36,0.9,0.19555499999999998,44.24965,4.2345500000000005,0.6149375,4.279780000000001,0.4261525
