ticker,company_name,sector,usable,total,review_rows,avg_text_len,coverage
AAPL,Apple,Technology,9,9,9,9039.222222222223,1.0
ABBV,AbbVie,Healthcare,8,9,2,2939.8888888888887,0.8888888888888888
ABT,Abbott Laboratories,Healthcare,4,9,5,884.3333333333334,0.4444444444444444
AMZN,Amazon,Consumer Discretionary,6,9,4,2043.0,0.6666666666666666
AVGO,Broadcom,Technology,4,9,6,493.77777777777777,0.4444444444444444
AXP,American Express,Financials,9,9,7,3705.5555555555557,1.0
BAC,Bank of America,Financials,9,9,2,22088.88888888889,1.0
BLK,BlackRock,Financials,5,9,5,2259.8888888888887,0.5555555555555556
BMY,Bristol-Myers Squibb,Healthcare,8,9,1,3720.8888888888887,0.8888888888888888
BRK.B,Berkshire Hathaway,Financials,9,9,9,1302.0,1.0
C,Citigroup,Financials,7,9,8,1728.4444444444443,0.7777777777777778
COP,ConocoPhillips,Energy,8,9,1,2388.222222222222,0.8888888888888888
CRM,Salesforce,Technology,9,9,0,4032.0,1.0
CVX,Chevron,Energy,9,9,0,2250.6666666666665,1.0
EOG,EOG Resources,Energy,7,9,6,8159.444444444444,0.7777777777777778
F,Ford Motor,Consumer Discretionary,9,9,0,3026.4444444444443,1.0
GOOGL,Alphabet,Technology,9,9,4,4090.0,1.0
GS,Goldman Sachs,Financials,9,9,0,2174.6666666666665,1.0
HAL,Halliburton,Energy,9,9,5,3728.8888888888887,1.0
HD,Home Depot,Consumer Discretionary,8,9,1,3577.6666666666665,0.8888888888888888
IBM,IBM,Technology,5,9,4,5068.111111111111,0.5555555555555556
INTC,Intel,Technology,0,9,9,0.0,0.0
JNJ,Johnson & Johnson,Healthcare,9,9,0,4607.444444444444,1.0
JPM,JPMorgan Chase,Financials,8,9,4,3689.6666666666665,0.8888888888888888
LLY,Eli Lilly,Healthcare,6,9,6,7859.333333333333,0.6666666666666666
LOW,Lowe's,Consumer Discretionary,2,9,7,508.77777777777777,0.2222222222222222
MCD,McDonald's,Consumer Discretionary,8,9,4,2382.1111111111113,0.8888888888888888
MDT,Medtronic,Healthcare,9,9,0,2764.3333333333335,1.0
META,Meta Platforms,Technology,9,9,1,12204.222222222223,1.0
MPC,Marathon Petroleum,Energy,9,9,0,1935.3333333333333,1.0
MRK,Merck,Healthcare,9,9,0,5061.222222222223,1.0
MS,Morgan Stanley,Financials,9,9,0,3180.3333333333335,1.0
MSFT,Microsoft,Technology,9,9,0,8852.222222222223,1.0
NKE,Nike,Consumer Discretionary,4,9,9,2616.222222222222,0.4444444444444444
NVDA,NVIDIA,Technology,8,9,4,1425.888888888889,0.8888888888888888
ORCL,Oracle,Technology,9,9,1,4343.777777777777,1.0
OXY,Occidental Petroleum,Energy,8,9,1,1756.0,0.8888888888888888
PFE,Pfizer,Healthcare,9,9,0,19001.444444444445,1.0
PSX,Phillips 66,Energy,9,9,3,5016.222222222223,1.0
SBUX,Starbucks,Consumer Discretionary,8,9,1,2161.5555555555557,0.8888888888888888
SCHW,Charles Schwab,Financials,9,9,9,5642.444444444444,1.0
SLB,SLB,Energy,7,9,3,5726.333333333333,0.7777777777777778
TGT,Target,Consumer Discretionary,9,9,0,2230.6666666666665,1.0
TJX,TJX Companies,Consumer Discretionary,9,9,1,3648.4444444444443,1.0
TMO,Thermo Fisher Scientific,Healthcare,9,9,5,5090.333333333333,1.0
TSLA,Tesla,Consumer Discretionary,9,9,2,3076.0,1.0
UNH,UnitedHealth Group,Healthcare,4,9,5,899.0,0.4444444444444444
VLO,Valero Energy,Energy,9,9,4,3262.777777777778,1.0
WFC,Wells Fargo,Financials,9,9,0,3812.3333333333335,1.0
XOM,ExxonMobil,Energy,9,9,0,6132.555555555556,1.0
